r,w,precision@w-1,precision@1
5,5,0.7877000000000001,0.7976000000000001
5,6,0.7908666666666668,0.8036666666666664
5,7,0.7974691876750698,0.8048151260504198
5,8,0.7657330827067664,0.7876315789473683
5,9,0.7368531746031749,0.7464285714285714
5,10,0.7511739130434785,0.7795391304347826
5,11,0.6296654545454543,0.665618181818182
5,12,0.5034747474747472,0.5277222222222222
5,13,0.423820954907162,0.4132095490716179
5,14,0.3735739099610067,0.3885437788018431
5,15,0.31688441558441555,0.3254060606060606
5,16,0.2763702380952381,0.29285714285714276
5,17,0.24701043322734492,0.25071065182829866
5,18,0.21433283056812472,0.248948717948718
5,19,0.19918977321352166,0.2017779204107831
5,20,0.17881799265605872,0.13504418604651164
5,21,0.15327698412698407,0.14352380952380936
5,22,0.1381747259832366,0.15733268858800775
5,23,0.12724876986367664,0.12693522626441886
5,24,0.11677323103154313,0.12840196078431365
5,25,0.1075704664811756,0.0950860464307452
5,26,0.09831891523103271,0.11410150980565749
5,27,0.089708354910733,0.07597987286115002
5,28,0.08593072161604115,0.10202058648702783
5,29,0.07856495347209559,0.08760842072213632
5,30,0.07311556609756052,0.07632150913878394
6,2,0.7141666666666667,0.7141666666666667
6,3,0.7358333333333337,0.731111111111111
6,4,0.7744444444444444,0.7929166666666667
6,5,0.7497499999999999,0.7793333333333331
6,6,0.727833333333333,0.749722222222222
6,7,0.750156794425087,0.767479674796748
6,8,0.7297877846790892,0.743269927536232
6,9,0.7276334422657953,0.7482244008714598
6,10,0.7303214285714285,0.7445595238095237
6,11,0.5726172379533032,0.5983482364629905
6,12,0.49811868686868666,0.5204797979797979
6,13,0.4071943842542434,0.4002437703141927
6,14,0.3606906689801427,0.36749373433583976
6,15,0.3124400352733687,0.2991604938271605
6,16,0.2614032622739018,0.2641157945736436
6,17,0.23801638924800694,0.2370243482008187
6,18,0.2067347494553376,0.2356481481481482
6,19,0.18568978827707328,0.19508771929824548
6,20,0.16478814961933122,0.13822641509433964
6,21,0.1475371085371085,0.1492449592449591
6,22,0.13068107180176142,0.1505590386624869
6,23,0.12127407746164481,0.11814888010540187
6,24,0.10576820220841965,0.11877976190476186
6,25,0.10120268897541425,0.09027628175571206
6,26,0.09071587573276045,0.10962048755046883
6,27,0.08365251298254715,0.07349333553757348
6,28,0.07886436686037382,0.08775141286707162
6,29,0.07069109807768145,0.0733564632076435
6,30,0.06780206255973971,0.06806317032890888
7,2,0.7299999999999999,0.7299999999999999
7,3,0.7440476190476187,0.7490476190476189
7,4,0.7488095238095239,0.777857142857143
7,5,0.7239285714285715,0.7514285714285713
7,6,0.7092380952380953,0.7111904761904762
7,7,0.7276367630385487,0.7368494897959177
7,8,0.69921768707483,0.6967526455026456
7,9,0.7060624999999995,0.7168412698412692
7,10,0.696663780663781,0.6993290043290046
7,11,0.5572119408369407,0.5604707792207791
7,12,0.4628754578754578,0.4706410256410256
7,13,0.3810225885225886,0.3614926739926739
7,14,0.3405321821036106,0.32767120181405884
7,15,0.291985544217687,0.2915922619047616
7,16,0.2426063258636787,0.26056547619047615
