log_name,method,I_comp,I_nn,I_prec,I_tri
BPIC12,Activity-Context N-Grams w_5,0.533,0.7201,0.6966,0.8106
BPIC12,Activity-Context N-Grams w_9,0.5018,0.6519,0.6333,0.6915
BPIC12,Bose 2009 Substitution Scores w_3,0.7616,0.6874,0.6511,0.8877
BPIC12,Bose 2009 Substitution Scores w_5,0.7295,0.704,0.6797,0.8467
BPIC12,Bose 2009 Substitution Scores w_9,0.6784,0.6202,0.5948,0.7964
BPIC12,Chiorrini 2022 Embedding Process Structure,0.9868,0.7202,0.7347,0.9254
BPIC12,De Koninck 2018 act2vec CBOW w_3,0.7662,0.6419,0.6315,0.812
BPIC12,De Koninck 2018 act2vec CBOW w_5,0.7568,0.6405,0.6398,0.7992
BPIC12,De Koninck 2018 act2vec CBOW w_9,0.7424,0.6356,0.6378,0.7813
BPIC12,De Koninck 2018 act2vec skip-gram w_3,0.7211,0.5959,0.5937,0.8399
BPIC12,De Koninck 2018 act2vec skip-gram w_5,0.7032,0.5773,0.5837,0.8081
BPIC12,De Koninck 2018 act2vec skip-gram w_9,0.6832,0.5555,0.5654,0.7652
BPIC12,Unit Distance,0.0,0.0275,0.0505,0.0
BPIC12_A,Activity-Activitiy Co Occurrence Bag Of Words PMI w_3,0.8403,0.7723,0.7704,0.8412
BPIC12_A,Activity-Activitiy Co Occurrence Bag Of Words PMI w_5,0.7639,0.7377,0.7672,0.7392
BPIC12_A,Activity-Activitiy Co Occurrence Bag Of Words PMI w_9,0.7772,0.7329,0.7577,0.74
BPIC12_A,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_3,0.8331,0.7689,0.7675,0.8399
BPIC12_A,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_5,0.7315,0.7411,0.7659,0.7394
BPIC12_A,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_9,0.7321,0.7363,0.7577,0.74
BPIC12_A,Activity-Activitiy Co Occurrence Bag Of Words w_3,0.7821,0.715,0.7118,0.8247
BPIC12_A,Activity-Activitiy Co Occurrence Bag Of Words w_5,0.7059,0.7091,0.7426,0.7335
BPIC12_A,Activity-Activitiy Co Occurrence Bag Of Words w_9,0.7016,0.7168,0.7452,0.7359
BPIC12_A,Activity-Activitiy Co Occurrence N-Gram PMI w_3,0.8224,0.7746,0.7716,0.8041
BPIC12_A,Activity-Activitiy Co Occurrence N-Gram PMI w_5,0.7438,0.7412,0.763,0.7039
BPIC12_A,Activity-Activitiy Co Occurrence N-Gram PMI w_9,0.7548,0.7414,0.763,0.704
BPIC12_A,Activity-Activitiy Co Occurrence N-Gram PPMI w_3,0.8074,0.7746,0.7716,0.8041
BPIC12_A,Activity-Activitiy Co Occurrence N-Gram PPMI w_5,0.7017,0.7412,0.763,0.7039
BPIC12_A,Activity-Activitiy Co Occurrence N-Gram PPMI w_9,0.7016,0.7414,0.763,0.704
BPIC12_A,Activity-Activitiy Co Occurrence N-Gram w_3,0.7778,0.7557,0.7407,0.8
BPIC12_A,Activity-Activitiy Co Occurrence N-Gram w_5,0.6969,0.7366,0.7554,0.703
BPIC12_A,Activity-Activitiy Co Occurrence N-Gram w_9,0.689,0.7366,0.7554,0.703
BPIC12_A,Activity-Context Bag Of Words PMI w_3,0.7965,0.7494,0.7467,0.8074
BPIC12_A,Activity-Context Bag Of Words PMI w_5,0.6963,0.7348,0.7577,0.7103
BPIC12_A,Activity-Context Bag Of Words PMI w_9,0.65,0.7333,0.7555,0.7075
BPIC12_A,Activity-Context Bag Of Words PPMI w_3,0.7007,0.7733,0.7598,0.8044
BPIC12_A,Activity-Context Bag Of Words PPMI w_5,0.6426,0.7344,0.7575,0.704
BPIC12_A,Activity-Context Bag Of Words PPMI w_9,0.6161,0.7328,0.7555,0.7039
BPIC12_A,Activity-Context Bag Of Words w_3,0.7187,0.7959,0.7922,0.8084
BPIC12_A,Activity-Context Bag Of Words w_5,0.6785,0.7341,0.7577,0.704
BPIC12_A,Activity-Context Bag Of Words w_9,0.6663,0.7341,0.7577,0.704
BPIC12_A,Activity-Context N-Grams PMI w_3,0.7492,0.7765,0.7619,0.804
BPIC12_A,Activity-Context N-Grams PMI w_5,0.6826,0.7416,0.763,0.704
BPIC12_A,Activity-Context N-Grams PMI w_9,0.61,0.7266,0.7478,0.7023
BPIC12_A,Activity-Context N-Grams PPMI w_3,0.6961,0.7765,0.7619,0.804
BPIC12_A,Activity-Context N-Grams PPMI w_5,0.641,0.7416,0.763,0.704
BPIC12_A,Activity-Context N-Grams PPMI w_9,0.5942,0.726,0.7468,0.7022
BPIC12_A,Activity-Context N-Grams w_3,0.7245,0.8086,0.8033,0.8092
BPIC12_A,Activity-Context N-Grams w_5,0.677,0.7418,0.763,0.704
BPIC12_A,Activity-Context N-Grams w_9,0.6571,0.7418,0.763,0.704
BPIC12_A,Bose 2009 Substitution Scores w_3,0.6982,0.8473,0.844,0.8922
BPIC12_A,Bose 2009 Substitution Scores w_5,0.5874,0.7167,0.7125,0.8013
BPIC12_A,Bose 2009 Substitution Scores w_9,0.5829,0.7105,0.704,0.7967
BPIC12_A,Chiorrini 2022 Embedding Process Structure,1.0,0.7646,0.7502,0.9283
BPIC12_A,De Koninck 2018 act2vec CBOW w_3,0.8219,0.7881,0.794,0.8909
BPIC12_A,De Koninck 2018 act2vec CBOW w_5,0.8243,0.7864,0.79,0.9047
BPIC12_A,De Koninck 2018 act2vec CBOW w_9,0.8264,0.7807,0.7875,0.9138
BPIC12_A,De Koninck 2018 act2vec skip-gram w_3,0.7903,0.7598,0.7546,0.8955
BPIC12_A,De Koninck 2018 act2vec skip-gram w_5,0.7905,0.7529,0.7476,0.895
BPIC12_A,De Koninck 2018 act2vec skip-gram w_9,0.7921,0.7545,0.7446,0.8972
BPIC12_A,Gamallo Fernandez 2023 Context Based w_3,0.2955,0.0391,0.0319,0.4124
BPIC12_A,Unit Distance,0.0,0.0765,0.0854,0.0
BPIC12_Complete,Activity-Activitiy Co Occurrence Bag Of Words PMI w_3,0.953,0.9247,0.941,0.9716
BPIC12_Complete,Activity-Activitiy Co Occurrence Bag Of Words PMI w_5,0.9315,0.8856,0.877,0.9745
BPIC12_Complete,Activity-Activitiy Co Occurrence Bag Of Words PMI w_9,0.8749,0.8119,0.8131,0.9419
BPIC12_Complete,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_3,0.9462,0.9152,0.9279,0.9708
BPIC12_Complete,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_5,0.9064,0.8685,0.8567,0.9702
BPIC12_Complete,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_9,0.7975,0.7769,0.7693,0.9157
BPIC12_Complete,Activity-Activitiy Co Occurrence Bag Of Words w_3,0.8945,0.8184,0.8264,0.961
BPIC12_Complete,Activity-Activitiy Co Occurrence Bag Of Words w_5,0.7957,0.7981,0.7696,0.9634
BPIC12_Complete,Activity-Activitiy Co Occurrence Bag Of Words w_9,0.7187,0.7511,0.7239,0.9121
BPIC12_Complete,Activity-Activitiy Co Occurrence N-Gram PMI w_3,0.9492,0.9156,0.9322,0.9526
BPIC12_Complete,Activity-Activitiy Co Occurrence N-Gram PMI w_5,0.9326,0.8833,0.8729,0.9395
BPIC12_Complete,Activity-Activitiy Co Occurrence N-Gram PMI w_9,0.8654,0.7852,0.7982,0.8388
BPIC12_Complete,Activity-Activitiy Co Occurrence N-Gram PPMI w_3,0.939,0.9142,0.9304,0.9524
BPIC12_Complete,Activity-Activitiy Co Occurrence N-Gram PPMI w_5,0.8937,0.8689,0.8593,0.9387
BPIC12_Complete,Activity-Activitiy Co Occurrence N-Gram PPMI w_9,0.7647,0.7845,0.786,0.8325
BPIC12_Complete,Activity-Activitiy Co Occurrence N-Gram w_3,0.8866,0.8112,0.8198,0.9424
BPIC12_Complete,Activity-Activitiy Co Occurrence N-Gram w_5,0.7852,0.8078,0.7689,0.9325
BPIC12_Complete,Activity-Activitiy Co Occurrence N-Gram w_9,0.6876,0.7921,0.7694,0.8417
BPIC12_Complete,Activity-Context Bag Of Words PMI w_3,0.7859,0.8648,0.8588,0.9371
BPIC12_Complete,Activity-Context Bag Of Words PMI w_5,0.5835,0.7915,0.762,0.8966
BPIC12_Complete,Activity-Context Bag Of Words PMI w_9,0.4153,0.706,0.6773,0.8051
BPIC12_Complete,Activity-Context Bag Of Words PPMI w_3,0.712,0.8422,0.8382,0.9237
BPIC12_Complete,Activity-Context Bag Of Words PPMI w_5,0.5453,0.7894,0.7594,0.8948
BPIC12_Complete,Activity-Context Bag Of Words PPMI w_9,0.4089,0.7051,0.6765,0.8042
BPIC12_Complete,Activity-Context Bag Of Words w_3,0.7369,0.8098,0.8019,0.9147
BPIC12_Complete,Activity-Context Bag Of Words w_5,0.6516,0.8116,0.7884,0.9049
BPIC12_Complete,Activity-Context Bag Of Words w_9,0.6254,0.7643,0.7627,0.8215
BPIC12_Complete,Activity-Context N-Grams PMI w_3,0.7782,0.8603,0.856,0.9339
BPIC12_Complete,Activity-Context N-Grams PMI w_5,0.5384,0.8298,0.8215,0.9042
BPIC12_Complete,Activity-Context N-Grams PMI w_9,0.3535,0.778,0.7875,0.8116
BPIC12_Complete,Activity-Context N-Grams PPMI w_3,0.7064,0.8479,0.845,0.9291
BPIC12_Complete,Activity-Context N-Grams PPMI w_5,0.5195,0.8282,0.8201,0.904
BPIC12_Complete,Activity-Context N-Grams PPMI w_9,0.3499,0.778,0.7875,0.8114
BPIC12_Complete,Activity-Context N-Grams w_3,0.7394,0.8224,0.8196,0.9174
BPIC12_Complete,Activity-Context N-Grams w_5,0.6464,0.8283,0.806,0.9061
BPIC12_Complete,Activity-Context N-Grams w_9,0.5949,0.78,0.7809,0.812
BPIC12_Complete,Bose 2009 Substitution Scores w_3,0.7388,0.8092,0.7812,0.9445
BPIC12_Complete,Bose 2009 Substitution Scores w_5,0.7362,0.8455,0.8416,0.9423
BPIC12_Complete,Bose 2009 Substitution Scores w_9,0.6504,0.7622,0.7648,0.8626
BPIC12_Complete,Chiorrini 2022 Embedding Process Structure,0.9941,0.7936,0.8384,0.9405
BPIC12_Complete,De Koninck 2018 act2vec CBOW w_3,0.7826,0.6848,0.6737,0.8406
BPIC12_Complete,De Koninck 2018 act2vec CBOW w_5,0.7722,0.6914,0.6821,0.829
BPIC12_Complete,De Koninck 2018 act2vec CBOW w_9,0.765,0.6842,0.6757,0.824
BPIC12_Complete,De Koninck 2018 act2vec skip-gram w_3,0.7413,0.6513,0.6464,0.8522
BPIC12_Complete,De Koninck 2018 act2vec skip-gram w_5,0.7175,0.6244,0.6212,0.8245
BPIC12_Complete,De Koninck 2018 act2vec skip-gram w_9,0.6971,0.597,0.5907,0.8018
BPIC12_Complete,Unit Distance,0.0,0.0356,0.0567,0.0
BPIC12_O,Activity-Activitiy Co Occurrence Bag Of Words PMI w_3,0.8872,0.826,0.8206,0.9189
BPIC12_O,Activity-Activitiy Co Occurrence Bag Of Words PMI w_5,0.814,0.7693,0.7592,0.8149
BPIC12_O,Activity-Activitiy Co Occurrence Bag Of Words PMI w_9,0.8589,0.7584,0.7428,0.9137
BPIC12_O,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_3,0.8849,0.826,0.8206,0.9245
BPIC12_O,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_5,0.814,0.7693,0.7592,0.8149
BPIC12_O,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_9,0.8059,0.7035,0.7101,0.8209
BPIC12_O,Activity-Activitiy Co Occurrence Bag Of Words w_3,0.8375,0.7906,0.768,0.8982
BPIC12_O,Activity-Activitiy Co Occurrence Bag Of Words w_5,0.7705,0.7403,0.7393,0.7854
BPIC12_O,Activity-Activitiy Co Occurrence Bag Of Words w_9,0.702,0.7087,0.7101,0.7504
BPIC12_O,Activity-Activitiy Co Occurrence N-Gram PMI w_3,0.8156,0.8029,0.8074,0.8358
BPIC12_O,Activity-Activitiy Co Occurrence N-Gram PMI w_5,0.7274,0.7334,0.7333,0.7376
BPIC12_O,Activity-Activitiy Co Occurrence N-Gram PMI w_9,0.7071,0.7172,0.7101,0.71
BPIC12_O,Activity-Activitiy Co Occurrence N-Gram PPMI w_3,0.8127,0.8029,0.8074,0.8472
BPIC12_O,Activity-Activitiy Co Occurrence N-Gram PPMI w_5,0.7274,0.7334,0.7333,0.7376
BPIC12_O,Activity-Activitiy Co Occurrence N-Gram PPMI w_9,0.7076,0.7168,0.7098,0.7098
BPIC12_O,Activity-Activitiy Co Occurrence N-Gram w_3,0.7831,0.8155,0.8071,0.8499
BPIC12_O,Activity-Activitiy Co Occurrence N-Gram w_5,0.7158,0.7462,0.7389,0.7392
BPIC12_O,Activity-Activitiy Co Occurrence N-Gram w_9,0.6847,0.7124,0.7048,0.7088
BPIC12_O,Activity-Context Bag Of Words PMI w_3,0.8104,0.7253,0.7253,0.8508
BPIC12_O,Activity-Context Bag Of Words PMI w_5,0.767,0.625,0.6292,0.7643
BPIC12_O,Activity-Context Bag Of Words PMI w_9,0.5318,0.638,0.6339,0.7566
BPIC12_O,Activity-Context Bag Of Words PPMI w_3,0.7641,0.7432,0.7382,0.8369
BPIC12_O,Activity-Context Bag Of Words PPMI w_5,0.6975,0.615,0.5942,0.7103
BPIC12_O,Activity-Context Bag Of Words PPMI w_9,0.4852,0.5827,0.5807,0.6854
BPIC12_O,Activity-Context Bag Of Words w_3,0.7615,0.6346,0.6356,0.8061
BPIC12_O,Activity-Context Bag Of Words w_5,0.7003,0.6181,0.6188,0.7174
BPIC12_O,Activity-Context Bag Of Words w_9,0.616,0.632,0.6355,0.6959
BPIC12_O,Activity-Context N-Grams PMI w_3,0.7971,0.7362,0.7369,0.8367
BPIC12_O,Activity-Context N-Grams PMI w_5,0.7409,0.624,0.63,0.7181
BPIC12_O,Activity-Context N-Grams PMI w_9,0.434,0.6383,0.6356,0.6958
BPIC12_O,Activity-Context N-Grams PPMI w_3,0.7584,0.7547,0.7498,0.838
BPIC12_O,Activity-Context N-Grams PPMI w_5,0.6847,0.6478,0.6465,0.72
BPIC12_O,Activity-Context N-Grams PPMI w_9,0.4102,0.6403,0.6359,0.6962
BPIC12_O,Activity-Context N-Grams w_3,0.7615,0.6673,0.6629,0.8242
BPIC12_O,Activity-Context N-Grams w_5,0.7003,0.6206,0.6188,0.7174
BPIC12_O,Activity-Context N-Grams w_9,0.6478,0.6364,0.6312,0.6949
BPIC12_O,Bose 2009 Substitution Scores w_3,0.6599,0.7342,0.6582,0.8768
BPIC12_O,Bose 2009 Substitution Scores w_5,0.6002,0.6987,0.6306,0.8459
BPIC12_O,Bose 2009 Substitution Scores w_9,0.5619,0.5976,0.5409,0.7604
BPIC12_O,Chiorrini 2022 Embedding Process Structure,0.9987,0.8544,0.8713,0.9475
BPIC12_O,De Koninck 2018 act2vec CBOW w_3,0.4969,0.3571,0.3594,0.6137
BPIC12_O,De Koninck 2018 act2vec CBOW w_5,0.4949,0.3554,0.3484,0.6179
BPIC12_O,De Koninck 2018 act2vec CBOW w_9,0.4907,0.359,0.3609,0.6199
BPIC12_O,De Koninck 2018 act2vec skip-gram w_3,0.5385,0.4582,0.4195,0.7661
BPIC12_O,De Koninck 2018 act2vec skip-gram w_5,0.5348,0.4714,0.4373,0.7759
BPIC12_O,De Koninck 2018 act2vec skip-gram w_9,0.536,0.4617,0.4266,0.7762
BPIC12_O,Gamallo Fernandez 2023 Context Based w_3,0.2502,0.0553,0.0353,0.3889
BPIC12_O,Unit Distance,0.0,0.1128,0.1073,0.0
BPIC12_W,Activity-Activitiy Co Occurrence Bag Of Words PMI w_3,0.8145,0.6365,0.7015,0.8516
BPIC12_W,Activity-Activitiy Co Occurrence Bag Of Words PMI w_5,0.5595,0.4966,0.3814,0.8302
BPIC12_W,Activity-Activitiy Co Occurrence Bag Of Words PMI w_9,0.5223,0.4405,0.3682,0.7253
BPIC12_W,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_3,0.7896,0.5649,0.6203,0.8177
BPIC12_W,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_5,0.1979,0.1375,0.0637,0.6025
BPIC12_W,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_9,0.1215,0.0964,0.0184,0.565
BPIC12_W,Activity-Activitiy Co Occurrence Bag Of Words w_3,0.7318,0.5438,0.553,0.8082
BPIC12_W,Activity-Activitiy Co Occurrence Bag Of Words w_5,0.1513,0.0704,0.0298,0.5083
BPIC12_W,Activity-Activitiy Co Occurrence Bag Of Words w_9,0.0865,0.0634,0.0,0.51
BPIC12_W,Activity-Activitiy Co Occurrence N-Gram PMI w_3,0.8144,0.6365,0.7001,0.8512
BPIC12_W,Activity-Activitiy Co Occurrence N-Gram PMI w_5,0.5319,0.5218,0.4361,0.8158
BPIC12_W,Activity-Activitiy Co Occurrence N-Gram PMI w_9,0.4318,0.2383,0.1685,0.4711
BPIC12_W,Activity-Activitiy Co Occurrence N-Gram PPMI w_3,0.7895,0.5639,0.6197,0.8173
BPIC12_W,Activity-Activitiy Co Occurrence N-Gram PPMI w_5,0.1175,0.0897,0.005,0.5686
BPIC12_W,Activity-Activitiy Co Occurrence N-Gram PPMI w_9,0.0119,0.0831,0.0437,0.2362
BPIC12_W,Activity-Activitiy Co Occurrence N-Gram w_3,0.7298,0.5387,0.5495,0.8047
BPIC12_W,Activity-Activitiy Co Occurrence N-Gram w_5,0.1111,0.0911,0.0706,0.467
BPIC12_W,Activity-Activitiy Co Occurrence N-Gram w_9,0.0096,0.0703,0.0,0.4883
BPIC12_W,Activity-Context Bag Of Words PMI w_3,0.3748,0.4903,0.4806,0.7227
BPIC12_W,Activity-Context Bag Of Words PMI w_5,0.1253,0.0523,0.0519,0.1679
BPIC12_W,Activity-Context Bag Of Words PMI w_9,0.086,0.0464,0.0294,0.166
BPIC12_W,Activity-Context Bag Of Words PPMI w_3,0.1064,0.3912,0.3284,0.6659
BPIC12_W,Activity-Context Bag Of Words PPMI w_5,0.0,0.0004,0.0,0.0
BPIC12_W,Activity-Context Bag Of Words PPMI w_9,0.0,0.0102,0.0,0.0013
BPIC12_W,Activity-Context Bag Of Words w_3,0.0763,0.1366,0.0083,0.5956
BPIC12_W,Activity-Context Bag Of Words w_5,0.0,0.0004,0.0,0.0502
BPIC12_W,Activity-Context Bag Of Words w_9,0.0,0.0081,0.0,0.0851
BPIC12_W,Activity-Context N-Grams PMI w_3,0.3453,0.468,0.45,0.7086
BPIC12_W,Activity-Context N-Grams PMI w_5,0.1105,0.0517,0.0533,0.1548
BPIC12_W,Activity-Context N-Grams PMI w_9,0.0323,0.1349,0.1411,0.1898
BPIC12_W,Activity-Context N-Grams PPMI w_3,0.0882,0.3552,0.2696,0.6516
BPIC12_W,Activity-Context N-Grams PPMI w_5,0.0,0.0019,0.0,0.0014
BPIC12_W,Activity-Context N-Grams PPMI w_9,0.0,0.0553,0.0088,0.0431
BPIC12_W,Activity-Context N-Grams w_3,0.0807,0.13,0.0062,0.5929
BPIC12_W,Activity-Context N-Grams w_5,0.0,0.0015,0.0,0.0635
BPIC12_W,Activity-Context N-Grams w_9,0.0,0.0398,0.0,0.1224
BPIC12_W,Bose 2009 Substitution Scores w_3,0.7057,0.1935,0.1614,0.5141
BPIC12_W,Bose 2009 Substitution Scores w_5,0.4445,0.0251,0.0,0.3007
BPIC12_W,Bose 2009 Substitution Scores w_9,0.5471,0.0707,0.0223,0.4122
BPIC12_W,Chiorrini 2022 Embedding Process Structure,0.9512,0.6114,0.6623,0.8396
BPIC12_W,De Koninck 2018 act2vec CBOW w_3,0.3534,0.1286,0.1135,0.3334
BPIC12_W,De Koninck 2018 act2vec CBOW w_5,0.3356,0.121,0.1171,0.3044
BPIC12_W,De Koninck 2018 act2vec CBOW w_9,0.3253,0.13,0.1337,0.3061
BPIC12_W,De Koninck 2018 act2vec skip-gram w_3,0.3371,0.1485,0.1306,0.4093
BPIC12_W,De Koninck 2018 act2vec skip-gram w_5,0.3338,0.1466,0.145,0.4039
BPIC12_W,De Koninck 2018 act2vec skip-gram w_9,0.3238,0.1548,0.1681,0.3927
BPIC12_W,Gamallo Fernandez 2023 Context Based w_3,0.3644,0.1405,0.1336,0.4969
BPIC12_W,Unit Distance,0.0,0.1136,0.1073,0.0
BPIC12_W_Complete,Activity-Activitiy Co Occurrence Bag Of Words PMI w_3,0.8179,0.71,0.6931,0.8782
BPIC12_W_Complete,Activity-Activitiy Co Occurrence Bag Of Words PMI w_5,0.824,0.7291,0.7194,0.8603
BPIC12_W_Complete,Activity-Activitiy Co Occurrence Bag Of Words PMI w_9,0.7611,0.5813,0.5594,0.802
BPIC12_W_Complete,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_3,0.7907,0.6626,0.6365,0.8795
BPIC12_W_Complete,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_5,0.764,0.6186,0.6013,0.8449
BPIC12_W_Complete,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_9,0.6691,0.4301,0.4038,0.7165
BPIC12_W_Complete,Activity-Activitiy Co Occurrence Bag Of Words w_3,0.6616,0.5156,0.4742,0.8141
BPIC12_W_Complete,Activity-Activitiy Co Occurrence Bag Of Words w_5,0.5976,0.4615,0.4091,0.7796
BPIC12_W_Complete,Activity-Activitiy Co Occurrence Bag Of Words w_9,0.4683,0.4046,0.3144,0.6894
BPIC12_W_Complete,Activity-Activitiy Co Occurrence N-Gram PMI w_3,0.803,0.6536,0.649,0.8665
BPIC12_W_Complete,Activity-Activitiy Co Occurrence N-Gram PMI w_5,0.715,0.5631,0.5292,0.7884
BPIC12_W_Complete,Activity-Activitiy Co Occurrence N-Gram PMI w_9,0.5964,0.4532,0.4277,0.6772
BPIC12_W_Complete,Activity-Activitiy Co Occurrence N-Gram PPMI w_3,0.7776,0.6976,0.6996,0.8871
BPIC12_W_Complete,Activity-Activitiy Co Occurrence N-Gram PPMI w_5,0.7513,0.5727,0.5358,0.8428
BPIC12_W_Complete,Activity-Activitiy Co Occurrence N-Gram PPMI w_9,0.6255,0.4604,0.4094,0.7635
BPIC12_W_Complete,Activity-Activitiy Co Occurrence N-Gram w_3,0.6242,0.5215,0.4711,0.8115
BPIC12_W_Complete,Activity-Activitiy Co Occurrence N-Gram w_5,0.5651,0.4869,0.3891,0.7895
BPIC12_W_Complete,Activity-Activitiy Co Occurrence N-Gram w_9,0.4138,0.4045,0.2841,0.7452
BPIC12_W_Complete,Activity-Context Bag Of Words PMI w_3,0.3876,0.5717,0.4519,0.8805
BPIC12_W_Complete,Activity-Context Bag Of Words PMI w_5,0.2144,0.4784,0.3523,0.8272
BPIC12_W_Complete,Activity-Context Bag Of Words PMI w_9,0.0796,0.2637,0.1547,0.6625
BPIC12_W_Complete,Activity-Context Bag Of Words PPMI w_3,0.1611,0.5197,0.4282,0.7667
BPIC12_W_Complete,Activity-Context Bag Of Words PPMI w_5,0.0798,0.3243,0.2111,0.7569
BPIC12_W_Complete,Activity-Context Bag Of Words PPMI w_9,0.0306,0.1579,0.0548,0.5559
BPIC12_W_Complete,Activity-Context Bag Of Words w_3,0.1882,0.3929,0.3389,0.7068
BPIC12_W_Complete,Activity-Context Bag Of Words w_5,0.2473,0.4114,0.3469,0.7073
BPIC12_W_Complete,Activity-Context Bag Of Words w_9,0.2417,0.368,0.3573,0.5954
BPIC12_W_Complete,Activity-Context N-Grams PMI w_3,0.3514,0.5599,0.456,0.8696
BPIC12_W_Complete,Activity-Context N-Grams PMI w_5,0.1414,0.5226,0.3883,0.8391
BPIC12_W_Complete,Activity-Context N-Grams PMI w_9,0.037,0.2793,0.1466,0.7012
BPIC12_W_Complete,Activity-Context N-Grams PPMI w_3,0.1493,0.5368,0.438,0.7659
BPIC12_W_Complete,Activity-Context N-Grams PPMI w_5,0.0642,0.3967,0.2857,0.7922
BPIC12_W_Complete,Activity-Context N-Grams PPMI w_9,0.0265,0.257,0.1347,0.6842
BPIC12_W_Complete,Activity-Context N-Grams w_3,0.2058,0.4381,0.3421,0.7916
BPIC12_W_Complete,Activity-Context N-Grams w_5,0.2657,0.4703,0.3751,0.813
BPIC12_W_Complete,Activity-Context N-Grams w_9,0.2732,0.4679,0.3808,0.7676
BPIC12_W_Complete,Bose 2009 Substitution Scores w_3,0.6129,0.4341,0.333,0.7354
BPIC12_W_Complete,Bose 2009 Substitution Scores w_5,0.5407,0.4711,0.3902,0.7229
